id,name,gender,age,height,times,occurrence
1,Roseanne Barr,Female,35,163,"[['03:26:48', '4']]","[10, 1, 10]"
2,Matt Smith,Male,22,182,"[['00:13:56', '2']]","[10, 1, 10]"
3,Jessica Capshaw,Female,28,165,"[['16:20:29', '1']]","[10, 1, 10]"
4,Julie Bowen,Female,39,168,"[['06:47:11', '2']]","[10, 1, 10]"
5,Jeffrey Donovan,Male,39,183,"[['11:36:06', '2']]","[10, 1, 10]"
6,Patrick Dempsey,Male,39,179,"[['19:41:33', '6']]","[10, 1, 10]"
7,Jon Hamm,Male,36,188,"[['21:40:42', '1']]","[10, 1, 10]"
8,Melissa McBride,Female,45,167,"[['21:29:51', '2']]","[10, 1, 10]"
9,Joshua Jackson,Male,30,188,"[['20:29:31', '3']]","[10, 1, 10]"
10,Angie Harmon,Female,37,177,"[['18:06:17', '2']]","[10, 1, 10]"
11,Troian Bellisario,Female,24,170,"[['00:40:18', '7']]","[10, 1, 10]"
12,James Spader,Male,53,178,"[['06:39:27', '3']]","[10, 1, 10]"
13,Shane West,Male,32,182,"[['17:04:46', '3']]","[10, 1, 10]"
14,Leighton Meester,Female,21,164,"[['06:50:13', '1']]","[10, 1, 10]"
15,Ginnifer Goodwin,Female,33,168,"[['20:38:14', '6']]","[10, 1, 10]"
16,Charlie Hunnam,Male,28,185,"[['01:32:39', '7']]","[10, 1, 10]"
17,Kiefer Sutherland,Male,34,175,"[['10:30:33', '2']]","[10, 1, 10]"
18,Matthew Morrison,Male,30,183,"[['06:13:16', '5']]","[10, 1, 10]"
19,Keri Russell,Female,37,163,"[['19:59:37', '4']]","[10, 1, 10]"
20,Johnny Depp,Male,47,178,"[['08:38:36', '2']]","[10, 1, 10]"
21,Lena Dunham,Female,26,160,"[['17:22:08', '3']]","[10, 1, 10]"
22,Anna Torv,Female,29,173,"[['22:47:43', '4']]","[10, 1, 10]"
23,Brad Pitt,Male,43,180,"[['13:07:11', '7']]","[10, 1, 10]"
24,David Schwimmer,Male,27,185,"[['04:51:16', '7']]","[10, 1, 10]"
25,Jesse Tyler Ferguson,Male,33,178,"[['18:46:47', '2']]","[10, 1, 10]"
26,AnnaLynne McCord,Female,20,171,"[['08:57:38', '7']]","[10, 1, 10]"
27,Zac Efron,Male,24,173,"[['16:52:54', '5']]","[10, 1, 10]"
28,Alyson Hannigan,Female,31,167,"[['10:48:59', '5']]","[10, 1, 10]"
29,Simon Baker,Male,38,178,"[['12:08:13', '2']]","[10, 1, 10]"
30,Ariana Grande,Female,20,153,"[['10:42:24', '3']]","[10, 1, 10]"
31,Jonny Lee Miller,Male,39,180,"[['05:17:21', '6']]","[10, 1, 10]"
32,Joel McHale,Male,37,193,"[['06:31:25', '7']]","[10, 1, 10]"
33,Robin Tunney,Female,36,162,"[['09:13:58', '2']]","[10, 1, 10]"
34,Cote de Pablo,Female,23,169,"[['22:59:36', '3']]","[10, 1, 10]"
35,Mayim Bialik,Female,31,163,"[['03:06:34', '5']]","[10, 1, 10]"
36,Hugh Laurie,Male,45,189,"[['18:04:59', '5']]","[10, 1, 10]"
37,Rachel Bilson,Female,29,157,"[['18:49:57', '4']]","[10, 1, 10]"
38,Matthew Rhys,Male,38,180,"[['07:54:31', '1']]","[10, 1, 10]"
39,Anne Hathaway,Female,27,173,"[['20:50:47', '4']]","[10, 1, 10]"
40,Ashley Benson,Female,20,161,"[['17:41:54', '6']]","[10, 1, 10]"
41,Kevin Bacon,Male,54,178,"[['08:24:57', '1']]","[10, 1, 10]"
42,RuPaul,Male,48,193,"[['18:22:31', '6']]","[10, 1, 10]"
43,Andrew Lincoln,Male,36,178,"[['09:39:51', '2']]","[10, 1, 10]"
44,Sarah Michelle Gellar,Female,34,163,"[['06:02:58', '6']]","[10, 1, 10]"
45,Lea Michele,Female,22,159,"[['18:27:36', '5']]","[10, 1, 10]"
46,Matt Bomer,Male,31,182,"[['14:34:33', '5']]","[10, 1, 10]"
