N,id,image,height,time,R
1,1,1_1.jpg,"[173.9, 0.08]","['03:26:48', '4']",1
2,2,2_1.jpg,"[189.5, 0.08]","['00:13:56', '2']",1
3,3,3_1.jpg,"[161.1, 0.08]","['16:20:29', '1']",1
4,4,4_1.jpg,"[169.4, 0.08]","['06:47:11', '2']",1
5,5,5_1.jpg,"[183.6, 0.08]","['11:36:06', '2']",1
6,6,6_1.jpg,"[175.2, 0.08]","['19:41:33', '6']",1
7,5,5_2.jpg,"[175.4, 0.08]","['17:58:16', '3']",0
8,7,7_1.jpg,"[196.3, 0.08]","['21:40:42', '1']",1
9,8,8_1.jpg,"[172.0, 0.08]","['21:29:51', '2']",1
10,9,9_1.jpg,"[181.3, 0.08]","['20:29:31', '3']",1
11,10,10_1.jpg,"[173.1, 0.08]","['18:06:17', '2']",1
12,11,11_1.jpg,"[165.0, 0.08]","['00:40:18', '7']",1
13,12,12_1.jpg,"[181.7, 0.08]","['06:39:27', '3']",1
14,13,13_1.jpg,"[177.9, 0.08]","['17:04:46', '3']",1
15,14,14_1.jpg,"[166.3, 0.08]","['06:50:13', '1']",1
16,15,15_1.jpg,"[178.2, 0.08]","['20:38:14', '6']",1
17,16,16_1.jpg,"[181.8, 0.08]","['01:32:39', '7']",1
18,17,17_1.jpg,"[168.7, 0.08]","['10:30:33', '2']",1
19,2,2_2.jpg,"[184.2, 0.08]","['00:13:08', '2']",0
20,18,18_1.jpg,"[184.1, 0.08]","['06:13:16', '5']",1
21,15,15_2.jpg,"[166.7, 0.08]","['19:32:46', '4']",0
22,19,19_1.jpg,"[166.2, 0.08]","['19:59:37', '4']",1
23,20,20_1.jpg,"[178.9, 0.08]","['08:38:36', '2']",1
24,21,21_1.jpg,"[160.7, 0.08]","['17:22:08', '3']",1
25,22,22_1.jpg,"[174.9, 0.08]","['22:47:43', '4']",1
26,23,23_1.jpg,"[185.1, 0.08]","['13:07:11', '7']",1
27,24,24_1.jpg,"[179.8, 0.08]","['04:51:16', '7']",1
28,25,25_1.jpg,"[173.0, 0.08]","['18:46:47', '2']",1
29,26,26_1.jpg,"[171.2, 0.08]","['08:57:38', '7']",1
30,27,27_1.jpg,"[183.8, 0.08]","['16:52:54', '5']",1
31,28,28_1.jpg,"[162.5, 0.08]","['10:48:59', '5']",1
32,29,29_1.jpg,"[179.0, 0.08]","['12:08:13', '2']",1
33,30,30_1.jpg,"[159.5, 0.08]","['10:42:24', '3']",1
34,31,31_1.jpg,"[170.7, 0.08]","['05:17:21', '6']",1
35,32,32_1.jpg,"[196.6, 0.08]","['06:31:25', '7']",1
36,33,33_1.jpg,"[156.6, 0.08]","['09:13:58', '2']",1
37,31,31_2.jpg,"[176.3, 0.08]","['12:12:46', '1']",0
38,34,34_1.jpg,"[166.9, 0.08]","['22:59:36', '3']",1
39,35,35_1.jpg,"[165.7, 0.08]","['03:06:34', '5']",1
40,8,8_2.jpg,"[163.4, 0.08]","['21:35:10', '2']",0
41,36,36_1.jpg,"[188.5, 0.08]","['18:04:59', '5']",1
42,37,37_1.jpg,"[147.4, 0.08]","['18:49:57', '4']",1
43,5,5_3.jpg,"[190.0, 0.08]","['18:27:57', '3']",0
44,38,38_1.jpg,"[192.5, 0.08]","['07:54:31', '1']",1
45,39,39_1.jpg,"[181.5, 0.08]","['20:50:47', '4']",1
46,40,40_1.jpg,"[154.6, 0.08]","['17:41:54', '6']",1
47,41,41_1.jpg,"[175.5, 0.08]","['08:24:57', '1']",1
48,42,42_1.jpg,"[192.7, 0.08]","['18:22:31', '6']",1
49,43,43_1.jpg,"[177.1, 0.08]","['09:39:51', '2']",1
50,44,44_1.jpg,"[161.3, 0.08]","['06:02:58', '6']",1
51,12,12_2.jpg,"[170.1, 0.08]","['18:48:01', '1']",0
52,22,22_2.jpg,"[178.5, 0.08]","['13:56:54', '7']",0
53,39,39_2.jpg,"[176.9, 0.08]","['20:05:45', '4']",0
54,13,13_2.jpg,"[183.2, 0.08]","['17:11:34', '3']",0
55,45,45_1.jpg,"[162.2, 0.08]","['18:27:36', '5']",1
56,46,46_1.jpg,"[185.9, 0.08]","['14:34:33', '5']",1
57,47,47_1.jpg,"[184.6, 0.08]","['07:32:44', '6']",1
58,4,4_2.jpg,"[154.9, 0.08]","['04:35:13', '4']",0
59,29,29_2.jpg,"[182.5, 0.08]","['11:47:13', '2']",0
60,48,48_1.jpg,"[181.7, 0.08]","['17:54:43', '2']",1
61,49,49_1.jpg,"[178.5, 0.08]","['05:15:03', '6']",1
62,2,2_3.jpg,"[182.6, 0.08]","['00:45:12', '2']",0
63,27,27_2.jpg,"[180.0, 0.08]","['20:00:40', '4']",0
64,50,50_1.jpg,"[181.9, 0.08]","['19:38:49', '5']",1
65,36,36_2.jpg,"[189.5, 0.08]","['18:04:17', '5']",0
66,51,51_1.jpg,"[174.8, 0.08]","['21:00:11', '2']",1
67,52,52_1.jpg,"[182.1, 0.08]","['04:25:36', '7']",1
68,53,53_1.jpg,"[170.7, 0.08]","['09:45:30', '1']",1
69,54,54_1.jpg,"[177.9, 0.08]","['22:57:09', '6']",1
70,1,1_2.jpg,"[164.4, 0.08]","['02:55:45', '4']",0
71,55,55_1.jpg,"[173.4, 0.08]","['02:55:31', '4']",1
72,56,56_1.jpg,"[174.7, 0.08]","['10:10:28', '6']",1
73,55,55_2.jpg,"[180.2, 0.08]","['03:22:22', '4']",0
74,57,57_1.jpg,"[161.3, 0.08]","['02:04:30', '1']",1
75,29,29_3.jpg,"[184.3, 0.08]","['12:36:41', '2']",0
76,58,58_1.jpg,"[167.0, 0.08]","['22:41:57', '4']",1
77,59,59_1.jpg,"[184.9, 0.08]","['18:45:52', '4']",1
78,60,60_1.jpg,"[181.5, 0.08]","['02:34:51', '2']",1
79,61,61_1.jpg,"[184.7, 0.08]","['03:24:34', '7']",1
80,62,62_1.jpg,"[158.3, 0.08]","['08:35:32', '3']",1
81,63,63_1.jpg,"[177.7, 0.08]","['19:09:10', '1']",1
82,13,13_3.jpg,"[190.3, 0.08]","['16:33:46', '3']",0
83,34,34_2.jpg,"[167.2, 0.08]","['00:15:49', '4']",0
84,53,53_2.jpg,"[181.8, 0.08]","['09:09:47', '1']",0
85,64,64_1.jpg,"[156.5, 0.08]","['17:57:20', '5']",1
86,65,65_1.jpg,"[186.9, 0.08]","['02:47:04', '6']",1
87,23,23_2.jpg,"[193.1, 0.08]","['06:49:55', '4']",0
88,66,66_1.jpg,"[189.5, 0.08]","['20:38:37', '2']",1
89,67,67_1.jpg,"[169.6, 0.08]","['11:30:36', '6']",1
90,52,52_2.jpg,"[183.2, 0.08]","['10:01:19', '6']",0
91,32,32_2.jpg,"[196.2, 0.08]","['03:31:47', '6']",0
92,26,26_2.jpg,"[165.2, 0.08]","['13:07:44', '7']",0
93,68,68_1.jpg,"[172.5, 0.08]","['08:27:06', '6']",1
94,69,69_1.jpg,"[161.2, 0.08]","['21:36:06', '5']",1
95,31,31_3.jpg,"[179.0, 0.08]","['05:17:40', '6']",0
96,12,12_3.jpg,"[180.5, 0.08]","['18:37:00', '1']",0
97,70,70_1.jpg,"[140.5, 0.08]","['04:17:12', '5']",1
98,41,41_2.jpg,"[184.6, 0.08]","['05:35:43', '6']",0
99,25,25_2.jpg,"[180.2, 0.08]","['15:56:05', '1']",0
100,1,1_3.jpg,"[160.8, 0.08]","['08:56:41', '4']",0
101,69,69_2.jpg,"[156.2, 0.08]","['19:35:05', '6']",0
102,71,71_1.jpg,"[153.2, 0.08]","['11:13:20', '6']",1
103,30,30_2.jpg,"[154.2, 0.08]","['05:20:18', '5']",0
104,9,9_2.jpg,"[194.4, 0.08]","['19:47:33', '3']",0
105,41,41_3.jpg,"[180.1, 0.08]","['02:22:32', '1']",0
106,72,72_1.jpg,"[182.6, 0.08]","['00:44:21', '2']",1
107,59,59_2.jpg,"[186.7, 0.08]","['18:52:55', '4']",0
108,73,73_1.jpg,"[169.1, 0.08]","['14:34:08', '7']",1
109,51,51_2.jpg,"[178.1, 0.08]","['17:07:39', '6']",0
110,24,24_2.jpg,"[186.0, 0.08]","['04:49:43', '7']",0
111,44,44_2.jpg,"[165.1, 0.08]","['16:22:20', '1']",0
112,25,25_3.jpg,"[169.8, 0.08]","['12:24:25', '1']",0
113,74,74_1.jpg,"[167.0, 0.08]","['10:06:49', '6']",1
114,58,58_2.jpg,"[176.2, 0.08]","['20:31:55', '1']",0
115,61,61_2.jpg,"[177.9, 0.08]","['03:59:02', '7']",0
116,23,23_3.jpg,"[181.9, 0.08]","['12:15:29', '7']",0
117,75,75_1.jpg,"[195.7, 0.08]","['05:41:09', '7']",1
118,63,63_2.jpg,"[184.7, 0.08]","['20:32:39', '1']",0
119,64,64_2.jpg,"[150.9, 0.08]","['17:57:24', '5']",0
120,65,65_2.jpg,"[186.0, 0.08]","['13:03:34', '3']",0
121,10,10_2.jpg,"[179.7, 0.08]","['18:06:40', '2']",0
122,22,22_3.jpg,"[175.4, 0.08]","['22:26:12', '4']",0
123,76,76_1.jpg,"[181.0, 0.08]","['05:30:00', '3']",1
124,50,50_2.jpg,"[184.3, 0.08]","['03:16:42', '6']",0
125,76,76_2.jpg,"[172.7, 0.08]","['22:58:24', '7']",0
126,41,41_4.jpg,"[193.1, 0.08]","['02:20:00', '1']",0
127,77,77_1.jpg,"[194.2, 0.08]","['06:41:57', '1']",1
128,12,12_4.jpg,"[173.3, 0.08]","['18:37:21', '1']",0
129,76,76_3.jpg,"[177.3, 0.08]","['22:56:55', '7']",0
130,78,78_1.jpg,"[164.5, 0.08]","['19:34:38', '1']",1
131,67,67_2.jpg,"[182.4, 0.08]","['19:59:30', '4']",0
132,73,73_2.jpg,"[163.5, 0.08]","['00:44:13', '1']",0
133,6,6_2.jpg,"[178.6, 0.08]","['19:56:31', '6']",0
134,15,15_3.jpg,"[171.5, 0.08]","['03:37:18', '4']",0
135,50,50_3.jpg,"[177.0, 0.08]","['03:16:50', '6']",0
136,8,8_3.jpg,"[162.0, 0.08]","['22:43:48', '2']",0
137,11,11_2.jpg,"[166.8, 0.08]","['08:33:43', '7']",0
138,58,58_3.jpg,"[183.1, 0.08]","['23:28:09', '4']",0
139,79,79_1.jpg,"[167.2, 0.08]","['16:14:43', '1']",1
140,31,31_4.jpg,"[173.4, 0.08]","['05:17:19', '6']",0
141,37,37_2.jpg,"[158.4, 0.08]","['13:11:15', '3']",0
142,80,80_1.jpg,"[179.2, 0.08]","['22:09:10', '4']",1
143,64,64_3.jpg,"[159.4, 0.08]","['10:46:21', '3']",0
144,18,18_2.jpg,"[192.0, 0.08]","['21:46:07', '2']",0
145,25,25_4.jpg,"[171.0, 0.08]","['12:04:19', '1']",0
146,42,42_2.jpg,"[187.7, 0.08]","['00:29:08', '3']",0
147,81,81_1.jpg,"[172.7, 0.08]","['18:20:16', '7']",1
148,53,53_3.jpg,"[180.1, 0.08]","['08:59:21', '4']",0
149,61,61_3.jpg,"[188.9, 0.08]","['03:24:40', '7']",0
150,16,16_2.jpg,"[174.2, 0.08]","['14:15:54', '5']",0
151,16,16_3.jpg,"[185.0, 0.08]","['14:15:01', '5']",0
152,19,19_2.jpg,"[163.8, 0.08]","['18:30:03', '4']",0
153,28,28_2.jpg,"[172.6, 0.08]","['21:13:45', '3']",0
154,82,82_1.jpg,"[156.4, 0.08]","['23:08:50', '6']",1
155,83,83_1.jpg,"[164.6, 0.08]","['00:38:01', '6']",1
156,20,20_2.jpg,"[178.8, 0.08]","['19:24:56', '7']",0
157,51,51_3.jpg,"[173.9, 0.08]","['21:00:47', '2']",0
158,17,17_2.jpg,"[165.4, 0.08]","['12:38:04', '1']",0
159,8,8_4.jpg,"[173.7, 0.08]","['04:09:13', '2']",0
160,19,19_3.jpg,"[163.2, 0.08]","['11:17:04', '1']",0
161,84,84_1.jpg,"[180.1, 0.08]","['19:23:00', '7']",1
162,85,85_1.jpg,"[168.6, 0.08]","['12:02:56', '5']",1
163,79,79_2.jpg,"[172.3, 0.08]","['22:24:09', '4']",0
164,2,2_4.jpg,"[186.3, 0.08]","['16:13:10', '6']",0
165,86,86_1.jpg,"[171.2, 0.08]","['06:00:11', '2']",1
166,47,47_2.jpg,"[173.1, 0.08]","['07:02:47', '6']",0
167,87,87_1.jpg,"[183.3, 0.08]","['21:19:14', '6']",1
168,9,9_3.jpg,"[184.6, 0.08]","['19:47:18', '3']",0
169,22,22_4.jpg,"[184.9, 0.08]","['00:21:32', '4']",0
170,71,71_2.jpg,"[160.4, 0.08]","['11:43:35', '6']",0
171,30,30_3.jpg,"[164.7, 0.08]","['12:02:01', '3']",0
172,44,44_3.jpg,"[153.0, 0.08]","['14:04:42', '4']",0
173,59,59_3.jpg,"[193.7, 0.08]","['23:17:51', '6']",0
174,88,88_1.jpg,"[168.0, 0.08]","['21:12:03', '3']",1
175,81,81_2.jpg,"[179.8, 0.08]","['09:58:02', '3']",0
176,66,66_2.jpg,"[187.6, 0.08]","['02:36:31', '4']",0
177,14,14_2.jpg,"[162.6, 0.08]","['08:07:19', '1']",0
178,44,44_4.jpg,"[160.5, 0.08]","['16:45:36', '1']",0
179,87,87_2.jpg,"[173.2, 0.08]","['15:40:28', '7']",0
180,42,42_3.jpg,"[186.3, 0.08]","['17:06:30', '6']",0
181,35,35_2.jpg,"[157.5, 0.08]","['03:05:18', '5']",0
182,79,79_3.jpg,"[163.4, 0.08]","['14:37:50', '1']",0
183,85,85_2.jpg,"[169.0, 0.08]","['12:02:08', '5']",0
184,38,38_2.jpg,"[184.3, 0.08]","['19:38:02', '2']",0
185,51,51_4.jpg,"[178.7, 0.08]","['10:32:55', '4']",0
186,89,89_1.jpg,"[166.5, 0.08]","['13:35:35', '6']",1
187,2,2_5.jpg,"[181.7, 0.08]","['01:20:35', '2']",0
188,14,14_3.jpg,"[152.6, 0.08]","['18:55:13', '5']",0
189,81,81_3.jpg,"[169.2, 0.08]","['09:31:35', '3']",0
190,8,8_5.jpg,"[168.0, 0.08]","['18:09:33', '3']",0
191,3,3_2.jpg,"[172.6, 0.08]","['00:25:56', '6']",0
192,82,82_2.jpg,"[165.0, 0.08]","['20:21:06', '5']",0
193,49,49_2.jpg,"[175.3, 0.08]","['04:32:04', '6']",0
194,6,6_3.jpg,"[178.5, 0.08]","['05:56:03', '4']",0
195,36,36_3.jpg,"[189.1, 0.08]","['11:58:56', '1']",0
196,30,30_4.jpg,"[150.9, 0.08]","['05:20:23', '5']",0
197,89,89_2.jpg,"[159.0, 0.08]","['14:10:50', '6']",0
198,83,83_2.jpg,"[174.7, 0.08]","['08:51:28', '2']",0
199,45,45_2.jpg,"[155.0, 0.08]","['18:24:42', '5']",0
200,13,13_4.jpg,"[185.5, 0.08]","['17:45:45', '7']",0
201,90,90_1.jpg,"[168.0, 0.08]","['14:58:43', '5']",1
202,83,83_3.jpg,"[182.4, 0.08]","['00:08:41', '6']",0
203,55,55_3.jpg,"[197.6, 0.08]","['06:16:38', '3']",0
204,28,28_3.jpg,"[176.0, 0.08]","['21:57:18', '3']",0
205,39,39_3.jpg,"[174.9, 0.08]","['22:01:45', '5']",0
206,80,80_2.jpg,"[181.3, 0.08]","['20:32:26', '4']",0
207,69,69_3.jpg,"[149.1, 0.08]","['19:30:58', '7']",0
208,6,6_4.jpg,"[190.7, 0.08]","['05:56:33', '4']",0
209,77,77_2.jpg,"[173.6, 0.08]","['05:57:41', '1']",0
210,91,91_1.jpg,"[190.1, 0.08]","['06:52:55', '3']",1
211,45,45_3.jpg,"[154.6, 0.08]","['18:27:42', '5']",0
212,37,37_3.jpg,"[162.1, 0.08]","['01:30:51', '5']",0
213,73,73_3.jpg,"[166.1, 0.08]","['14:48:34', '7']",0
214,11,11_3.jpg,"[172.0, 0.08]","['09:06:38', '7']",0
215,52,52_3.jpg,"[169.9, 0.08]","['05:18:12', '5']",0
216,4,4_3.jpg,"[169.6, 0.08]","['00:29:31', '1']",0
217,15,15_4.jpg,"[176.2, 0.08]","['22:30:17', '6']",0
218,85,85_3.jpg,"[183.9, 0.08]","['01:56:34', '1']",0
219,65,65_3.jpg,"[183.9, 0.08]","['13:07:57', '4']",0
220,41,41_5.jpg,"[176.0, 0.08]","['07:25:15', '1']",0
221,55,55_4.jpg,"[186.8, 0.08]","['06:48:34', '3']",0
222,20,20_3.jpg,"[169.1, 0.08]","['09:21:16', '2']",0
223,32,32_3.jpg,"[194.8, 0.08]","['03:37:13', '6']",0
224,35,35_3.jpg,"[165.0, 0.08]","['17:12:33', '5']",0
225,92,92_1.jpg,"[184.1, 0.08]","['01:43:02', '1']",1
226,16,16_4.jpg,"[176.1, 0.08]","['01:09:14', '7']",0
227,18,18_3.jpg,"[186.3, 0.08]","['05:11:11', '5']",0
228,57,57_2.jpg,"[165.5, 0.08]","['09:04:52', '1']",0
229,65,65_4.jpg,"[197.6, 0.08]","['11:55:10', '4']",0
230,52,52_4.jpg,"[179.4, 0.08]","['04:08:55', '7']",0
231,12,12_5.jpg,"[177.0, 0.08]","['19:02:05', '1']",0
232,34,34_3.jpg,"[174.6, 0.08]","['08:31:24', '1']",0
233,41,41_6.jpg,"[178.8, 0.08]","['02:09:07', '1']",0
234,60,60_2.jpg,"[172.6, 0.08]","['01:04:47', '2']",0
235,35,35_4.jpg,"[160.9, 0.08]","['04:05:27', '4']",0
