id,name,gender,age,height,times,occurrence
1,Roseanne Barr,Female,35,163,"[['13:19:14', '2']]","[10, 1, 10]"
2,Matt Smith,Male,22,182,"[['12:03:14', '3']]","[10, 1, 10]"
3,Jessica Capshaw,Female,28,165,"[['00:11:26', '7']]","[10, 1, 10]"
4,Julie Bowen,Female,39,168,"[['18:05:59', '1']]","[10, 1, 10]"
5,Jeffrey Donovan,Male,39,183,"[['13:13:00', '4']]","[10, 1, 10]"
6,Patrick Dempsey,Male,39,179,"[['08:58:45', '5']]","[10, 1, 10]"
7,Jon Hamm,Male,36,188,"[['12:32:31', '3']]","[10, 1, 10]"
8,Melissa McBride,Female,45,167,"[['00:28:02', '1']]","[10, 1, 10]"
9,Joshua Jackson,Male,30,188,"[['12:26:48', '1']]","[10, 1, 10]"
10,Angie Harmon,Female,37,177,"[['07:03:29', '5']]","[10, 1, 10]"
11,Troian Bellisario,Female,24,170,"[['04:11:11', '3']]","[10, 1, 10]"
12,James Spader,Male,53,178,"[['01:00:22', '5']]","[10, 1, 10]"
13,Shane West,Male,32,182,"[['05:56:28', '3']]","[10, 1, 10]"
14,Leighton Meester,Female,21,164,"[['12:56:02', '6']]","[10, 1, 10]"
15,Ginnifer Goodwin,Female,33,168,"[['03:28:08', '3']]","[10, 1, 10]"
16,Charlie Hunnam,Male,28,185,"[['13:15:42', '6']]","[10, 1, 10]"
17,Kiefer Sutherland,Male,34,175,"[['19:34:05', '4']]","[10, 1, 10]"
18,Matthew Morrison,Male,30,183,"[['15:16:21', '5']]","[10, 1, 10]"
19,Keri Russell,Female,37,163,"[['02:17:11', '7']]","[10, 1, 10]"
20,Johnny Depp,Male,47,178,"[['10:11:59', '1']]","[10, 1, 10]"
21,Lena Dunham,Female,26,160,"[['19:53:38', '1']]","[10, 1, 10]"
22,Anna Torv,Female,29,173,"[['19:27:48', '6']]","[10, 1, 10]"
23,Brad Pitt,Male,43,180,"[['03:08:56', '4']]","[10, 1, 10]"
24,David Schwimmer,Male,27,185,"[['03:26:46', '5']]","[10, 1, 10]"
25,Jesse Tyler Ferguson,Male,33,178,"[['22:48:40', '5']]","[10, 1, 10]"
26,AnnaLynne McCord,Female,20,171,"[['21:02:04', '6']]","[10, 1, 10]"
27,Zac Efron,Male,24,173,"[['20:20:13', '4']]","[10, 1, 10]"
28,Alyson Hannigan,Female,31,167,"[['07:42:05', '1']]","[10, 1, 10]"
29,Simon Baker,Male,38,178,"[['20:06:35', '4']]","[10, 1, 10]"
30,Ariana Grande,Female,20,153,"[['12:34:18', '7']]","[10, 1, 10]"
31,Jonny Lee Miller,Male,39,180,"[['13:25:08', '4']]","[10, 1, 10]"
32,Joel McHale,Male,37,193,"[['11:33:22', '3']]","[10, 1, 10]"
33,Robin Tunney,Female,36,162,"[['02:16:21', '6']]","[10, 1, 10]"
34,Cote de Pablo,Female,23,169,"[['23:13:44', '5']]","[10, 1, 10]"
35,Mayim Bialik,Female,31,163,"[['04:15:45', '7']]","[10, 1, 10]"
36,Hugh Laurie,Male,45,189,"[['12:44:23', '7']]","[10, 1, 10]"
37,Rachel Bilson,Female,29,157,"[['21:41:35', '4']]","[10, 1, 10]"
38,Matthew Rhys,Male,38,180,"[['20:58:59', '6']]","[10, 1, 10]"
39,Anne Hathaway,Female,27,173,"[['14:02:55', '1']]","[10, 1, 10]"
40,Ashley Benson,Female,20,161,"[['10:36:43', '3']]","[10, 1, 10]"
41,Kevin Bacon,Male,54,178,"[['17:07:04', '2']]","[10, 1, 10]"
42,RuPaul,Male,48,193,"[['20:47:56', '4']]","[10, 1, 10]"
43,Andrew Lincoln,Male,36,178,"[['00:25:28', '5']]","[10, 1, 10]"
44,Sarah Michelle Gellar,Female,34,163,"[['23:20:25', '7']]","[10, 1, 10]"
45,Lea Michele,Female,22,159,"[['06:50:20', '5']]","[10, 1, 10]"
46,Matt Bomer,Male,31,182,"[['14:24:30', '2']]","[10, 1, 10]"
47,Ryan Gosling,Male,30,184,"[['18:05:10', '2']]","[10, 1, 10]"
48,Ty Burrell,Male,41,183,"[['23:47:34', '1']]","[10, 1, 10]"
49,Chris Colfer,Male,19,179,"[['15:44:36', '4']]","[10, 1, 10]"
50,Stephen Amell,Male,31,185,"[['12:44:20', '2']]","[10, 1, 10]"
51,Emily Deschanel,Female,28,175,"[['05:29:19', '6']]","[10, 1, 10]"
52,Miles Teller,Male,27,183,"[['01:17:22', '7']]","[10, 1, 10]"
