N,id,image,height,time,R
1,1,1_1.jpg,"[173.9, 0.08]","['13:19:14', '2']",1
2,2,2_1.jpg,"[189.5, 0.08]","['12:03:14', '3']",1
3,3,3_1.jpg,"[161.1, 0.08]","['00:11:26', '7']",1
4,4,4_1.jpg,"[169.4, 0.08]","['18:05:59', '1']",1
5,5,5_1.jpg,"[183.6, 0.08]","['13:13:00', '4']",1
6,6,6_1.jpg,"[175.2, 0.08]","['08:58:45', '5']",1
7,5,5_2.jpg,"[175.4, 0.08]","['18:58:15', '7']",0
8,7,7_1.jpg,"[196.3, 0.08]","['12:32:31', '3']",1
9,8,8_1.jpg,"[172.0, 0.08]","['00:28:02', '1']",1
10,9,9_1.jpg,"[181.3, 0.08]","['12:26:48', '1']",1
11,10,10_1.jpg,"[173.1, 0.08]","['07:03:29', '5']",1
12,11,11_1.jpg,"[165.0, 0.08]","['04:11:11', '3']",1
13,12,12_1.jpg,"[181.7, 0.08]","['01:00:22', '5']",1
14,13,13_1.jpg,"[177.9, 0.08]","['05:56:28', '3']",1
15,14,14_1.jpg,"[166.3, 0.08]","['12:56:02', '6']",1
16,15,15_1.jpg,"[178.2, 0.08]","['03:28:08', '3']",1
17,16,16_1.jpg,"[181.8, 0.08]","['13:15:42', '6']",1
18,17,17_1.jpg,"[168.7, 0.08]","['19:34:05', '4']",1
19,2,2_2.jpg,"[184.2, 0.08]","['06:14:37', '7']",0
20,18,18_1.jpg,"[184.1, 0.08]","['15:16:21', '5']",1
21,15,15_2.jpg,"[166.7, 0.08]","['12:40:19', '4']",0
22,19,19_1.jpg,"[166.2, 0.08]","['02:17:11', '7']",1
23,20,20_1.jpg,"[178.9, 0.08]","['10:11:59', '1']",1
24,21,21_1.jpg,"[160.7, 0.08]","['19:53:38', '1']",1
25,22,22_1.jpg,"[174.9, 0.08]","['19:27:48', '6']",1
26,23,23_1.jpg,"[185.1, 0.08]","['03:08:56', '4']",1
27,24,24_1.jpg,"[179.8, 0.08]","['03:26:46', '5']",1
