I,F,G,A,H,T
0,0,Female,36,173,74
1,1,Female,39,173,74
0,0,Male,50,189,120
2,0,Male,54,189,120
0,0,Female,56,161,288
3,3,Male,54,161,288
0,0,Female,32,169,36
4,4,Female,30,169,36
0,0,Male,31,183,170
5,5,Male,32,183,170
0,0,Male,37,175,209
6,6,Male,43,175,209
5,0,Male,37,175,325
0,0,Male,52,196,121
7,7,Male,44,196,121
0,0,Female,61,172,0
8,8,Female,61,172,0
0,0,Male,32,181,24
9,9,Male,38,181,24
0,0,Female,30,173,206
10,10,Female,29,173,206
0,0,Female,28,165,104
11,11,Female,28,165,104
0,0,Male,48,181,194
12,12,Male,47,181,194
0,0,Male,48,177,107
13,13,Male,48,177,107
0,0,Female,28,166,265
14,14,Female,27,166,265
0,0,Male,14,178,102
15,15,Male,12,178,102
0,0,Male,33,181,266
16,16,Male,31,181,266
0,0,Male,50,168,183
17,17,Male,50,168,183
2,0,Male,43,184,300
0,0,Male,54,184,222
18,18,Male,54,184,222
15,0,Female,25,166,169
0,0,Male,42,166,292
19,19,Male,42,166,292
0,0,Male,72,178,20
20,20,Male,41,178,20
0,0,Female,21,160,39
21,21,Female,23,160,39
0,0,Male,31,174,278
22,22,Female,28,174,278
0,0,Male,44,185,150
23,23,Male,44,185,150
0,0,Male,38,179,198
24,24,Male,39,179,198
0,0,Female,34,173,237
25,25,Male,29,173,237
0,0,Female,30,171,282
26,26,Female,30,171,282
0,0,Male,63,183,184
27,27,Male,40,183,184
0,0,Female,25,162,15
28,28,Female,26,162,15
0,0,Male,51,179,184
29,29,Male,49,179,184
0,0,Male,34,159,313
30,30,Male,41,159,313
0,0,Male,40,170,170
31,31,Male,44,170,170
0,0,Male,36,196,119
32,32,Male,36,196,119
0,0,Female,22,156,244
33,33,Female,23,156,244
31,0,Male,36,176,22
0,0,Female,25,166,238
34,34,Female,23,166,238
0,0,Male,48,165,296
35,35,Male,35,165,296
8,8,Female,50,163,144
0,0,Male,39,188,313
36,36,Male,36,188,313
0,0,Female,41,147,187
37,37,Female,41,147,187
5,5,Male,47,190,217
0,0,Male,37,192,281
38,38,Male,41,192,281
0,0,Female,24,181,28
39,39,Female,27,181,28
0,0,Female,28,154,117
40,40,Female,28,154,117
0,0,Male,30,175,82
41,41,Male,44,175,82
0,0,Female,33,192,185
42,42,Female,33,192,185
0,0,Male,37,177,192
43,43,Male,37,177,192
0,0,Female,31,161,334
44,44,Female,31,161,334
12,0,Male,48,170,113
22,0,Female,39,178,299
39,39,Female,20,176,324
13,0,Male,39,183,274
0,0,Female,29,162,205
45,45,Female,19,162,205
0,0,Male,28,185,76
46,46,Male,35,185,76
0,0,Male,33,184,84
47,47,Male,30,184,84
4,0,Female,32,154,101
29,0,Male,41,182,70
0,0,Male,44,181,47
48,48,Male,46,181,47
0,0,Male,31,178,175
49,49,Male,33,178,175
2,2,Male,41,182,138
27,0,Male,29,180,211
0,0,Male,56,181,73
50,50,Male,56,181,73
36,0,Male,45,189,109
0,0,Female,23,174,250
51,51,Female,0,174,250
0,0,Male,33,182,290
52,52,Male,32,182,290
0,0,Female,38,170,109
53,53,Female,38,170,109
0,0,Male,38,177,19
54,54,Male,38,177,19
1,0,Male,39,164,47
0,0,Male,27,173,255
55,55,Male,28,173,255
0,0,Female,40,174,265
56,56,Female,30,174,265
55,55,Male,28,180,67
0,0,Female,42,161,204
57,57,Female,31,161,204
29,0,Male,46,184,227
0,0,Male,37,167,201
58,58,Male,35,167,201
0,38,Male,40,184,63
59,59,Male,40,184,63
0,0,Female,38,181,91
60,60,Female,38,181,91
0,0,Female,43,184,45
61,61,Female,43,184,45
0,0,Female,37,158,10
62,62,Female,37,158,10
0,0,Male,48,177,243
63,63,Male,50,177,243
13,0,Male,21,190,280
34,34,Female,24,167,313
53,0,Male,25,181,266
0,0,Female,29,156,218
64,64,Female,30,156,218
0,0,Male,54,186,92
65,65,Male,54,186,92
23,0,Male,35,193,178
0,0,Male,19,189,65
66,0,Male,23,189,65
0,0,Male,50,169,250
67,67,Male,43,169,250
52,0,Male,48,183,267
32,0,Male,25,196,61
26,0,Female,27,165,193
0,0,Male,33,172,287
68,68,Male,36,172,287
0,0,Female,28,161,122
69,69,Female,30,161,122
31,0,Male,30,179,45
12,0,Male,44,180,29
0,0,Female,33,140,319
70,70,Female,38,140,319
41,0,Male,38,184,231
25,0,Male,33,180,75
1,0,Female,43,160,149
69,0,Female,49,156,330
0,0,Female,19,153,187
71,71,Female,16,153,187
30,0,Female,24,154,332
9,0,Male,26,194,300
41,0,Male,54,180,260
0,0,Male,35,182,15
72,72,Male,32,182,15
59,38,Male,42,186,53
0,4,Female,21,169,21
73,73,Female,21,169,21
51,0,Female,37,178,258
24,0,Male,50,186,279
44,0,Female,30,165,100
25,0,Male,39,169,138
0,0,Female,44,167,276
74,74,Female,44,167,276
58,0,Male,11,176,320
61,0,Male,33,177,14
23,23,Male,46,181,49
0,0,Male,54,195,179
75,75,Male,51,195,179
63,0,Male,29,184,216
64,0,Female,38,150,333
65,53,Male,38,186,38
10,10,Male,37,179,242
22,0,Female,44,175,282
0,0,Male,47,181,105
76,76,Male,45,181,105
50,68,Male,45,184,76
76,0,Male,42,172,96
41,0,Male,52,193,165
0,0,Male,65,194,32
77,77,Male,65,194,32
12,12,Male,56,173,281
76,0,Male,29,177,123
0,0,Female,35,164,88
78,78,Female,34,164,88
67,0,Female,28,182,29
73,0,Female,24,163,278
6,0,Male,30,178,127
15,0,Female,31,171,90
50,0,Male,33,177,58
8,0,Male,64,162,255
11,0,Female,30,166,59
58,0,Male,39,183,92
0,0,Male,54,167,142
79,79,Female,61,167,142
31,0,Male,55,173,273
37,0,Female,31,158,316
0,0,Female,25,179,120
80,80,Female,26,179,120
64,0,Female,29,159,19
18,18,Male,48,192,326
25,0,Male,47,171,298
42,42,Female,29,187,170
0,0,Male,39,172,220
81,81,Male,41,172,220
53,53,Male,40,180,17
61,0,Female,36,188,74
16,0,Male,51,174,73
16,0,Male,56,185,9
19,0,Male,48,163,265
28,28,Female,34,172,332
0,0,Male,26,156,188
82,82,Male,31,156,188
0,0,Male,33,164,299
