I,F,H,G,A,T
116,116,114,Male,25,136
136,136,123,Female,45,253
65,65,148,Male,40,206
34,55,115,Male,22,192
167,167,105,Male,37,227
193,193,132,Female,25,31
134,134,132,Female,30,141
82,82,130,Female,43,239
37,37,145,Male,47,31
10,10,155,Male,26,121
129,129,152,Female,22,266
138,138,89,Female,27,4
84,84,135,Male,33,102
51,51,156,Male,40,263
126,126,112,Female,43,177
42,42,127,Male,54,327
82,30,135,Male,43,243
181,181,112,Male,34,204
80,80,114,Male,36,136
76,76,137,Male,35,35
15,38,103,Male,56,50
8,8,120,Male,23,114
84,84,127,Male,33,102
169,169,121,Male,32,66
0,0,50,Female,44,103
94,42,116,Male,39,160
28,28,123,Female,17,92
128,128,136,Male,46,135
188,181,63,Female,37,120
190,190,111,Female,45,94
37,51,136,Female,47,30
132,132,110,Male,30,333
195,195,117,Female,38,260
123,123,119,Female,20,298
64,64,143,Female,28,5
4,4,109,Male,31,127
199,178,94,Female,24,183
117,102,94,Female,26,106
106,106,90,Female,21,196
162,162,131,Male,32,149
198,198,108,Female,10,300
179,179,138,Male,37,256
187,187,128,Male,35,211
144,35,128,Male,31,151
17,17,127,Female,23,94
69,69,131,Female,39,227
40,40,108,Male,28,182
110,110,127,Male,38,42
119,119,109,Female,49,46
38,38,119,Female,29,44
91,91,113,Male,28,263
152,152,149,Male,34,242
57,57,126,Female,35,180
30,3,106,Male,35,286
1,0,124,Female,34,91
154,154,155,Male,35,10
53,53,135,Female,46,95
22,22,134,Female,33,112
20,20,102,Female,37,107
177,177,144,Male,46,23
2,2,110,Male,20,115
27,27,129,Male,53,301
198,198,86,Male,10,292
113,113,66,Female,33,152
178,178,142,Male,53,221
152,152,131,Female,34,240
140,140,133,Female,31,217
135,135,127,Male,17,325
66,19,131,Female,51,231
110,110,118,Male,38,45
26,26,92,Female,29,83
182,16,140,Male,30,68
93,93,126,Female,59,140
24,24,148,Male,37,91
75,75,138,Female,36,276
113,82,117,Male,33,150
157,157,151,Male,32,86
156,156,113,Female,37,315
153,15,101,Male,33,87
12,12,136,Male,35,165
75,58,109,Female,36,268
193,193,98,Female,25,32
127,127,120,Female,43,85
48,48,128,Male,21,246
71,71,90,Female,24,283
81,81,149,Male,27,277
24,24,156,Male,37,96
145,145,137,Female,26,24
90,90,101,Female,33,100
111,111,102,Female,28,280
187,187,153,Male,35,216
45,45,166,Male,48,283
52,52,100,Female,28,140
117,117,104,Male,26,106
21,21,148,Female,16,211
107,107,139,Female,35,328
165,165,118,Female,31,149
41,41,135,Female,30,165
101,101,144,Male,20,122
90,90,155,Female,33,95
111,111,128,Female,28,280
126,126,116,Female,43,179
150,150,143,Female,23,239
90,90,141,Female,33,94
160,160,108,Female,29,309
181,181,171,Female,34,200
92,92,133,Female,32,71
112,112,106,Female,38,259
43,43,107,Female,33,212
145,145,153,Male,26,26
45,45,135,Male,48,288
86,86,117,Male,21,199
152,152,150,Female,34,241
124,124,88,Female,29,85
75,75,106,Female,36,277
37,37,116,Male,47,26
154,154,123,Male,35,7
179,179,149,Female,37,254
17,17,119,Female,23,96
34,34,99,Male,22,199
170,170,126,Female,31,140
70,70,104,Male,34,207
125,125,118,Female,23,152
64,64,134,Female,28,3
11,11,117,Male,24,188
98,98,141,Female,29,71
167,167,110,Female,37,220
149,149,113,Female,28,269
111,111,133,Female,28,279
61,61,92,Female,31,269
3,14,144,Male,42,45
23,23,147,Male,31,304
164,164,105,Female,32,55
189,189,119,Male,26,153
171,171,129,Male,37,25
86,86,145,Female,21,191
60,60,112,Male,32,224
142,142,142,Male,40,9
122,122,148,Female,31,28
114,114,117,Male,51,298
