N,id,image,height,time,R
1,1,1_1.jpg,"[172.5, 0.08]","['20:39:54', '2']",1
2,2,2_1.jpg,"[177.4, 0.08]","['11:59:07', '3']",1
3,3,3_1.jpg,"[186.3, 0.08]","['22:00:08', '1']",1
4,4,4_1.jpg,"[192.4, 0.08]","['14:53:02', '3']",1
5,5,5_1.jpg,"[184.0, 0.08]","['14:05:37', '2']",1
6,6,6_1.jpg,"[170.7, 0.08]","['21:56:11', '4']",1
7,7,7_1.jpg,"[180.3, 0.08]","['01:41:54', '6']",1
8,8,8_1.jpg,"[166.3, 0.08]","['09:22:37', '3']",1
9,9,9_1.jpg,"[194.7, 0.08]","['00:42:00', '3']",1
10,10,10_1.jpg,"[197.3, 0.08]","['13:33:50', '3']",1
11,11,11_1.jpg,"[173.9, 0.08]","['21:41:05', '4']",1
12,12,12_1.jpg,"[176.8, 0.08]","['08:41:23', '4']",1
13,13,13_1.jpg,"[175.4, 0.08]","['01:58:13', '7']",1
14,14,14_1.jpg,"[176.6, 0.08]","['07:50:22', '7']",1
15,15,15_1.jpg,"[180.5, 0.08]","['00:26:02', '2']",1
16,16,16_1.jpg,"[176.0, 0.08]","['10:23:09', '5']",1
17,17,17_1.jpg,"[165.0, 0.08]","['23:07:20', '2']",1
18,18,18_1.jpg,"[173.4, 0.08]","['21:39:00', '5']",1
19,19,19_1.jpg,"[164.9, 0.08]","['05:11:38', '6']",1
20,20,20_1.jpg,"[161.8, 0.08]","['07:24:05', '3']",1
21,21,21_1.jpg,"[205.7, 0.08]","['10:19:22', '5']",1
22,22,22_1.jpg,"[161.2, 0.08]","['09:11:03', '3']",1
23,23,23_1.jpg,"[167.6, 0.08]","['07:48:26', '7']",1
24,24,24_1.jpg,"[190.4, 0.08]","['01:14:44', '3']",1
25,21,21_2.jpg,"[184.8, 0.08]","['14:52:54', '7']",0
26,25,25_1.jpg,"[168.0, 0.08]","['19:19:52', '5']",1
27,26,26_1.jpg,"[160.8, 0.08]","['18:54:03', '2']",1
28,3,3_2.jpg,"[184.0, 0.08]","['21:17:37', '1']",0
29,27,27_1.jpg,"[178.8, 0.08]","['08:59:47', '7']",1
