I,F,G,A,H,T
0,0,Female,28,172,89
1,1,Female,28,172,89
0,0,Female,23,177,119
2,0,Female,24,177,119
0,0,Male,29,186,44
3,3,Male,26,186,44
0,0,Male,45,192,125
4,4,Male,45,192,125
0,0,Female,33,184,76
5,5,Female,33,184,76
0,0,Female,35,170,187
6,6,Male,34,170,187
0,0,Male,57,180,243
7,7,Male,56,180,243
0,0,Female,26,166,114
8,8,Female,27,166,114
0,0,Male,48,194,97
9,9,Male,52,194,97
0,0,Male,27,197,123
10,10,Male,28,197,123
0,0,Male,37,173,187
11,11,Male,39,173,187
0,0,Female,33,176,161
12,12,Female,25,176,161
0,0,Female,24,175,291
13,13,Female,24,175,291
0,0,Male,60,176,303
14,14,Male,63,176,303
0,0,Male,60,180,48
15,15,Male,54,180,48
0,0,Male,40,176,212
16,16,Male,41,176,212
0,0,Female,56,165,94
17,17,Female,56,165,94
0,0,Female,24,173,235
18,18,Female,26,173,235
0,0,Male,47,164,250
19,19,Male,50,164,250
0,0,Female,33,161,110
20,20,Female,33,161,110
0,0,Female,26,205,212
21,21,Female,25,205,212
0,0,Female,38,161,114
22,22,Female,38,161,114
0,0,Male,22,167,303
23,23,Male,24,167,303
0,0,Male,34,190,98
24,24,Male,28,190,98
21,21,Female,24,184,317
0,0,Female,32,168,230
25,25,Female,32,168,230
0,0,Female,21,160,85
26,26,Female,21,160,85
3,0,Male,30,184,42
0,0,Male,48,178,305
27,27,Male,48,178,305
0,0,Female,33,162,90
28,28,Female,35,162,90
0,0,Male,33,174,159
29,29,Male,33,174,159
0,0,Male,46,164,283
30,30,Male,46,164,283
0,0,Female,40,155,203
31,31,Female,40,155,203
17,0,Female,23,171,96
0,0,Female,35,159,268
32,32,Female,35,159,268
0,0,Male,51,182,185
33,33,Male,51,182,185
0,0,Male,23,176,197
34,34,Male,23,176,197
0,0,Male,35,182,77
35,0,Male,28,182,77
1,1,Female,26,163,68
0,0,Female,44,177,12
36,36,Female,40,177,12
0,0,Male,42,183,27
37,37,Male,47,183,27
0,1,Female,31,178,37
38,38,Female,34,178,37
0,0,Female,29,166,165
39,39,Female,29,166,165
0,0,Male,48,175,185
40,40,Female,44,175,185
28,28,Female,35,170,20
6,6,Female,35,173,14
0,0,Male,54,173,164
41,41,Male,54,173,164
6,0,Female,36,183,242
0,0,Male,41,178,324
42,42,Male,41,178,324
0,0,Male,27,167,211
43,43,Male,27,167,211
0,23,Male,37,179,243
44,44,Male,38,179,243
0,0,Female,29,180,285
45,45,Female,30,180,285
2,10,Male,26,179,300
37,0,Male,44,176,229
13,0,Female,22,169,292
0,0,Female,29,173,156
46,46,Female,28,173,156
31,0,Female,31,168,167
42,42,Male,58,182,214
0,0,Male,50,177,23
47,0,Male,34,177,23
0,0,Female,19,164,243
48,48,Female,24,164,243
15,0,Male,47,164,105
38,0,Female,34,175,228
5,0,Male,30,182,213
0,0,Male,44,173,122
49,49,Male,45,173,122
38,0,Male,59,179,291
