id,name,gender,age,height,times,occurrence
1,Sarah Michelle Gellar,Female,34,163,"[['22:04:17', '5']]","[27, 1, 27]"
2,Ed Westwick,Male,20,175,"[['18:11:41', '6']]","[36, 1, 36]"
3,Jim Caviezel,Male,42,188,"[['08:49:13', '1']]","[33, 1, 33]"
4,Stephen Amell,Male,31,185,"[['10:59:45', '7']]","[33, 1, 33]"
5,Miles Teller,Male,27,183,"[['00:18:45', '4']]","[36, 1, 36]"
6,Jane Lynch,Female,48,183,"[['01:45:47', '7']]","[39, 1, 39]"
7,Norman Reedus,Male,41,178,"[['20:25:47', '3']]","[23, 1, 23]"
8,Jennifer Lawrence,Female,23,175,"[['04:29:47', '2']]","[34, 1, 34]"
9,Hugh Laurie,Male,45,189,"[['04:57:16', '6']]","[33, 1, 33]"
10,Robert Pattinson,Male,26,185,"[['12:14:33', '3']]","[31, 1, 31]"
11,Zac Efron,Male,24,173,"[['13:01:05', '4']]","[27, 1, 27]"
12,Ellen Pompeo,Female,35,170,"[['02:01:09', '7']]","[26, 1, 26]"
13,AnnaLynne McCord,Female,20,171,"[['14:57:05', '3']]","[36, 1, 36]"
14,Ty Burrell,Male,41,183,"[['07:50:33', '4']]","[28, 1, 28]"
15,Michael Emerson,Male,56,173,"[['15:32:16', '4']]","[23, 1, 23]"
16,Leonardo DiCaprio,Male,38,183,"[['06:59:32', '4']]","[24, 1, 24]"
17,Cote de Pablo,Female,23,169,"[['17:53:46', '2']]","[25, 1, 25]"
18,Kaley Cuoco,Female,21,168,"[['05:47:33', '6']]","[26, 1, 26]"
19,Melissa McBride,Female,45,167,"[['18:11:47', '4']]","[28, 1, 28]"
20,Keri Russell,Female,37,163,"[['16:22:30', '4']]","[33, 1, 33]"
21,Kodi Smit-McPhee,Male,16,188,"[['12:25:21', '7']]","[39, 1, 39]"
22,Sandra Oh,Female,33,168,"[['14:12:29', '1']]","[30, 1, 30]"
23,Matt Bomer,Male,31,182,"[['23:49:19', '5']]","[35, 1, 35]"
24,Joel McHale,Male,37,193,"[['11:24:37', '3']]","[30, 1, 30]"
25,Zoe Saldana,Female,36,170,"[['00:24:57', '3']]","[32, 1, 32]"
26,Rachel Bilson,Female,29,157,"[['23:13:26', '2']]","[37, 1, 37]"
27,James Spader,Male,53,178,"[['16:23:25', '4']]","[33, 1, 33]"
28,Chloe Grace Moretz,Female,17,163,"[['01:10:09', '1']]","[30, 1, 30]"
29,Josh Radnor,Male,30,182,"[['12:33:22', '1']]","[23, 1, 23]"
30,Mireille Enos,Female,35,157,"[['05:42:47', '4']]","[32, 1, 32]"
31,Mindy Kaling,Female,33,163,"[['15:01:50', '3']]","[37, 1, 37]"
32,Felicity Huffman,Female,41,165,"[['15:16:18', '2']]","[28, 1, 28]"
33,David Boreanaz,Male,36,185,"[['04:41:04', '1']]","[28, 1, 28]"
34,Matt Smith,Male,22,182,"[['10:32:49', '1']]","[31, 1, 31]"
35,Timothy Olyphant,Male,42,183,"[['20:13:38', '6']]","[36, 1, 36]"
36,Angelina Jolie,Female,35,169,"[['12:57:34', '4']]","[41, 1, 41]"
37,Johnny Depp,Male,47,178,"[['14:27:28', '7']]","[27, 1, 27]"
