I,F,G,A,H,T
0,0,Female,28,172,236
1,1,Female,28,172,236
0,0,Female,23,177,276
2,0,Female,24,177,276
0,0,Male,29,186,17
3,3,Male,26,186,17
0,0,Male,45,192,309
4,4,Male,45,192,309
0,0,Female,33,184,144
5,5,Female,33,184,144
0,0,Female,35,170,291
6,6,Male,34,170,291
0,0,Male,57,180,136
7,7,Male,57,180,136
0,0,Female,23,166,56
8,8,Female,25,166,56
0,0,Male,48,194,249
9,9,Male,52,194,249
0,0,Male,27,197,120
10,10,Male,28,197,120
0,0,Male,37,173,170
11,11,Male,39,173,170
0,0,Female,33,176,292
12,12,Female,25,176,292
0,0,Female,24,175,125
13,13,Female,24,175,125
0,0,Male,60,176,159
14,14,Male,63,176,159
0,0,Male,60,180,175
15,15,Male,60,180,175
0,0,Male,39,176,157
16,16,Male,37,176,157
0,0,Female,56,165,83
17,17,Female,56,165,83
0,0,Female,24,173,251
18,18,Female,26,173,251
0,0,Male,47,164,180
19,19,Male,50,164,180
0,0,Female,33,161,176
20,20,Female,33,161,176
0,0,Female,26,205,312
21,21,Female,25,205,312
0,0,Female,38,161,28
22,22,Female,38,161,28
0,0,Male,22,167,239
23,23,Male,24,167,239
0,0,Male,34,190,118
24,24,Male,28,190,118
21,21,Female,24,184,119
0,0,Female,32,168,96
25,25,Female,32,168,96
0,0,Female,21,160,94
26,26,Female,22,160,94
3,0,Female,28,184,93
0,0,Male,48,178,176
27,27,Male,47,178,176
0,0,Female,33,162,2
28,28,Female,35,162,2
0,0,Male,33,174,25
29,29,Male,33,174,25
0,0,Male,46,164,155
30,30,Male,46,164,155
0,0,Female,40,155,126
31,31,Female,40,155,126
17,0,Female,23,171,308
0,0,Female,35,159,78
32,32,Female,32,159,78
0,0,Male,51,182,9
33,33,Male,51,182,9
0,0,Male,23,176,21
34,34,Male,23,176,21
0,0,Male,35,182,280
35,0,Male,28,182,280
1,1,Female,26,163,1
0,0,Female,44,177,169
36,36,Female,40,177,169
